cis_index,title,status
2.1.1,Ensure autofs services are not in use,Fail
2.1.2,Ensure avahi daemon services are not in use,Fail
2.1.2,Ensure avahi daemon services are not in use,Fail
2.1.3,Ensure dhcp server services are not in use,Fail
2.1.4,Ensure dns server services are not in use,Fail
1.1.1.1,Ensure cramfs kernel module is not available,Fail
3.1.1,Ensure IPv6 status is identified,Fail
2.1.5,Ensure dnsmasq services are not in use,Fail
2.1.6,Ensure ftp server services are not in use,Fail
1.1.1.2,Ensure freevxfs kernel module is not available,Fail
2.1.7,Ensure ldap server services are not in use,Fail
3.1.2,Ensure wireless interfaces are disabled,Fail
1.1.1.3,Ensure hfs kernel module is not available,Fail
2.1.8,Ensure message access server services are not in use,Fail
3.1.3,Ensure bluetooth services are not in use,Fail
1.1.1.4,Ensure hfsplus kernel module is not available,Fail
2.1.9 ,Ensure network file system services are not in use,Fail
2.1.10, Ensure nis server services are not in use,Fail
3.2.1,Ensure dccp kernel module is not available,Fail
2.1.11,Ensure print server services are not in use,Fail
2.1.12,Ensure rpcbind services are not in use,Fail
3.2.2,Ensure tipc kernel module is not available,Fail
2.1.13,Ensure rsync services are not in use,Fail
2.1.14,Ensure samba file server services are not in use,Fail
2.1.15,Ensure snmp services are not in use,Fail
3.2.3,Ensure rds kernel module is not available,Fail
1.1.1.6,Ensure squashfs kernel module is not available,Fail
3.2.4,Ensure sctp kernel module is not available,Fail
2.1.16,Ensure tftp server services are not in use,Fail
1.1.1.7,Ensure udf kernel module is not available,Fail
2.1.17,Ensure web proxy server services are not in use,Fail
2.1.18,Ensure web server services are not in use,Fail
3.3.1,Ensure ip forwarding is disabled,Fail
2.1.19,Ensure xinetd services are not in use,Fail
3.3.2,Ensure packet redirect sending is disabled,Fail
2.1.20,Ensure X window server services are not in use,Fail
3.3.3,Ensure bogus icmp responses are ignored,Fail
2.1.21,Ensure mail transfer agent is configured for local-only mode,Fail
2.1.22,Ensure only approved services are listening on a network interface,Fail
3.3.4,Ensure broadcast icmp requests are ignored,Fail
2.2.1,Ensure NIS Client is not installed,Fail
2.2.2,Ensure rsh client is not installed,Fail
3.3.5,Ensure icmp redirects are not accepted,Fail
2.2.3,Ensure talk client is not installed,Fail
3.3.6,Ensure secure icmp redirects are not accepted,Fail
2.2.4,Ensure telnet client is not installed,Fail
3.3.7,Ensure reverse path filtering is enabled,Fail
2.2.5,Ensure ldap client is not installed,Fail
3.3.8 ,Ensure source routed packets are not accepted,Fail
2.2.6,Ensure ftp client is not installed,Fail
3.3.9,Ensure suspicious packets are logged,Fail
1.1.1.5,Ensure jffs2 kernel module is not available,Fail
1.1.1.8,Ensure usb-storage kernel module is not available,Fail
1.1.2.1.1, Ensure /tmp is a separate partition,Fail
3.3.10,Ensure suspicious packets are logged,Fail
1.1.2.1.2,Ensure nodev option set on /tmp partition,Fail
3.3.11,ipv6 router advertisements are not accepted,Fail
4.1.1,Ensure ufw is installed,Fail
1.1.2.1.3, Ensure nosuid option set on /tmp partition,Fail
4.1.2,Ensure iptables-persistent is not installed with ufw,Fail
1.1.2.1.4,Ensure noexec option set on /tmp partition,Fail
4.1.3,Ensure ufw service is enabled,Fail
1.1.2.2.1,Ensure /dev/shm is a separate partition,Fail
1.1.2.2.1,Ensure /dev/shm is a separate partition,Fail
4.1.4,Ensure ufw loopback traffic is configured,Fail
4.1.4,Ensure ufw loopback traffic is configured,Fail
1.1.2.2.3,Ensure nosuid option set on /dev/shm partition,Fail
4.1.5,Ensure ufw outbound connections are configured,Fail
4.1.6 ,Ensure ufw firewall rules exist for all open ports,Fail
1.1.2.2.4,Ensure noexec option set on /dev/shm partition,Fail
4.1.7 ,Ensure ufw default deny firewall policy,Fail
4.2.1,Ensure nftables is installed,Fail
1.1.2.3.1,Ensure separate partition exists for /home,Fail
4.2.2 ,Ensure ufw is uninstalled or disabled with nftables,Fail
1.1.2.3.2,Ensure nodev option set on /home partition,Fail
1.1.2.3.3,Ensure nosuid option set on /home partition,Fail
1.1.2.4.1,Ensure separate partition exists for /var,Fail
4.2.3 ,Ensure iptables are flushed with nftables,Fail
1.1.2.4.2,Ensure nodev option set on /var partition,Fail
4.2.4 ,Ensure a nftables table exists,Fail
1.1.2.4.3,Ensure nosuid option set on /var partition,Fail
4.2.5 ,Ensure nftables base chains exist,Fail
4.2.6,Ensure nftables loopback traffic is configured,Fail
4.2.7 ,Ensure nftables outbound and established connections are configured,Fail
1.1.2.5.1,Ensure separate partition exists for /var/tmp,Fail
1.1.2.5.2,Ensure nodev option set on /var/tmp partition,Fail
1.1.2.5.3,Ensure nosuid option set on /var/tmp partition,Fail
1.1.2.5.4,Ensure noexec option set on /var/tmp partition,Fail
1.1.2.6.1,Ensure separate partition exists for /var/log,Fail
4.2.8 ,Ensure nftables default deny firewall policy,Fail
4.2.9 ,Ensure nftables service is enabled,Fail
4.2.10,Ensure nftables rules are permanent,Fail
4.3.1.1,Ensure iptables packages are installed,Fail
1.1.2.6.2,Ensure nodev option set on /var/log partition,Fail
1.1.2.6.3 ,Ensure nosuid option set on /var/log partition,Fail
1.1.2.6.4 ,noexec option set on /var/log partition,Fail
1.1.2.7.1,Ensure separate partition exists for /var/log/audit,Fail
1.1.2.7.2 ,Ensure nodev option set on /var/log/audit partition,Fail
1.1.2.7.3 ,Ensure nosuid option set on /var/log/audit partition,Fail
1.1.2.7.4 ,Ensure noexec option set on /var/log/audit partition,Fail
1.2.1.1 ,Ensure GPG keys are configured,Fail
1.2.1.2 ,Ensure package manager repositories are configured,Fail
1.2.2.1,"Ensure updates, patches, and additional security software are installed",Fail
1.3.1.1,Ensure AppArmor is installed,Fail
1.3.1.2 ,Ensure AppArmor is enabled in the bootloader configuration,Fail
1.3.1.3 ,Ensure all AppArmor Profiles are in enforce or complain mode,Fail
1.3.1.4 ,Ensure all AppArmor Profiles are enforcing,Fail
1.4.1,Ensure bootloader password is set,Fail
1.4.2 ,Ensure access to bootloader config is configured,Fail
2.3.1.1,Ensure a single time synchronization daemon is in use,Fail
1.5.1 ,Ensure address space layout randomization is enabled,Fail
1.5.2,Ensure ptrace_scope is restricted,Fail
2.3.2.1,Ensure systemd-timesyncd configured with authorized timeserver,Fail
1.5.3 ,Ensure core dumps are restricted,Fail
2.3.2.2,Ensure systemd-timesyncd is enabled and running,Fail
1.5.4 ,Ensure prelink is not installed,Fail
2.3.3.1, Ensure chrony is configured with authorized timeserver,Fail
2.3.3.2,Ensure chrony is running as user _chrony,Fail
2.3.3.3 ,Ensure chrony is enabled and running,Fail
1.5.5 ,Ensure Automatic Error Reporting is not enabled,Fail
2.4.1.1,Ensure cron daemon is enabled and active,Fail
1.6.1 ,Ensure message of the day is configured properly,Fail
2.4.1.2,Ensure permissions on /etc/crontab are configured,Fail
2.4.1.3,Ensure permissions on /etc/cron.hourly are configured,Fail
1.6.2 ,Ensure local login warning banner is configured properly,Fail
2.4.1.4,Ensure permissions on /etc/cron.daily are configured,Fail
1.6.3 ,Ensure remote login warning banner is configured properly,Fail
2.4.1.5,Ensure permissions on /etc/cron.weekly are configured,Fail
2.4.1.6,Ensure permissions on /etc/cron.monthly are configured,Fail
1.6.4 ,Ensure access to /etc/motd is configured,Fail
2.4.1.7,Ensure permissions on /etc/cron.d are configured,Fail
1.6.5 ,Ensure access to /etc/issue is configured,Fail
2.4.1.8,Ensure crontab is restricted to authorized users,Fail
1.6.6 ,Ensure access to /etc/issue.net is configured,Fail
2.4.2.1,Ensure at is restricted to authorized users,Fail
1.7.1 ,Ensure GDM is removed,Fail
1.7.2 ,Ensure GDM login banner is configured,Fail
1.7.3 ,Ensure GDM disable-user-list option is enabled,Fail
1.7.4 ,Ensure GDM screen locks when the user is idle,Fail
1.7.5 ,Ensure GDM screen locks cannot be overridden,Fail
1.7.6 ,Ensure GDM automatic mounting of removable media is disabled,Fail
1.7.7 ,Ensure GDM disabling automatic mounting of removable media is not overridden,Fail
1.7.8 ,Ensure GDM autorun-never is enabled,Fail
1.7.9 ,Ensure GDM autorun-never is not overridden,Fail
1.7.10 ,Ensure XDCMP is not enabled,Fail
4.3.1.2 ,Ensure nftables is not installed with iptables,Fail
4.3.1.3 ,Ensure ufw is uninstalled or disabled with iptables,Fail
4.3.2.1 ,Ensure iptables default deny firewall policy,Fail
4.3.2.2 ,Ensure iptables loopback traffic is configured,Fail
4.3.2.3 , Ensure iptables outbound and established connections are configured,Fail
4.3.2.4 ,Ensure iptables firewall rules exist for all open ports,Fail
4.3.3.1 ,Ensure ip6tables default deny firewall policy,Fail
4.3.3.2 ,Ensure ip6tables loopback traffic is configured,Fail
4.3.3.3 ,Ensure ip6tables outbound and established connections are configured,Fail
4.3.3.4 ,Ensure ip6tables firewall rules exist for all open ports,Fail
5.1.1 ,Ensure permissions on /etc/ssh/sshd_config are configured,Fail
5.2.1,Ensure sudo is installed,Fail
5.2.2,Ensure sudo commands use pty,Fail
5.2.3, Ensure sudo log file exists,Fail
5.2.4 ,Ensure users must provide password for privilege escalation,Fail
5.2.5,Ensure re-authentication for privilege escalation is not disabled globally,Fail
5.2.6,Ensure sudo authentication timeout is configured correctly,Fail
5.2.7 ,Ensure access to the su command is restricted,Fail
5.3.1.1,Ensure latest version of pam is installed,Fail
5.3.1.2 ,Ensure libpam-modules is installed,Fail
5.3.1.3,Ensure libpam-pwquality is installed,Fail
5.1.2 ,Ensure permissions on SSH private host key files are configured,Fail
5.1.3 ,Ensure permissions on SSH public host key files are configured,Fail
5.1.11,Ensure sshd IgnoreRhosts is enabled,Fail
5.1.4 ,Ensure sshd access is configured,Fail
5.1.12,Ensure sshd KexAlgorithms is configured,Fail
5.1.5 ,Ensure sshd Banner is configured,Fail
